t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,2141.5
18.0,0.0,0.0,,,,,0.0,0.0,2141.5
19.0,0.0,0.0,,,,,0.0,0.0,2141.5
20.0,0.0,0.0,,,,,0.0,0.0,2141.5
21.0,0.0,0.0,,,,,0.0,0.0,2141.5
22.0,0.0,0.0,,,,,0.0,0.0,2141.5
23.0,0.0,3.4,,,,,0.0,0.0,2187.6
24.0,0.0,3.4,,,,,0.0,0.0,2241.4
25.0,0.0,3.4,,,,,0.0,0.0,2380.5
26.0,0.0,3.4,,,,,0.0,0.0,2380.5
27.0,0.21,356.0,,,,,0.21,0.21,3175.4
28.0,0.0,356.0,,,,,0.0,0.0,6263.6
29.0,0.0,356.0,,,,,0.0,0.0,9413.8
30.0,0.0,356.0,,,,,0.0,0.0,12576.0
31.0,0.0,356.0,,,,,0.0,0.0,15770.4
32.0,0.0,356.0,,,,,0.0,0.0,18969.3
33.0,0.0,356.0,,,,,0.0,0.0,22153.2
34.0,0.0,356.0,,,,,0.0,0.0,25184.1
35.0,0.0,356.0,,,,,0.0,0.0,28181.3
36.01,0.0,356.0,,,,,0.0,0.0,30828.5
37.01,0.0,356.0,,,,,0.0,0.0,31025.3
38.01,0.0,356.0,,,,,0.0,0.0,31021.7
39.01,0.0,356.0,,,,,0.0,0.0,31016.0
40.01,0.0,356.0,,,,,0.0,0.0,31018.2
41.01,0.0,356.0,,,,,0.0,0.0,30940.1
42.01,0.0,356.0,,,,,0.0,0.0,31011.1
43.01,0.0,356.0,,,,,0.0,0.0,30678.0
44.01,0.0,356.0,,,,,0.0,0.0,29809.7
45.01,0.0,356.0,,,,,0.0,0.0,30277.1
46.01,0.0,356.0,,,,,0.0,0.0,30583.9
47.01,0.0,356.0,,,,,0.0,0.0,29687.7
48.01,0.0,356.0,,,,,0.0,0.0,30155.8
49.01,0.0,356.0,,,,,0.0,0.0,30446.3
50.01,0.0,356.0,,,,,0.0,0.0,29759.6
51.01,0.0,356.0,,,,,0.0,0.0,30243.1
52.01,0.0,356.0,,,,,0.0,0.0,30628.0
53.01,0.0,356.0,,,,,0.0,0.0,29867.5
54.01,0.0,356.0,,,,,0.0,0.0,30357.0
55.01,0.0,356.0,,,,,0.0,0.0,30623.0
56.01,0.0,356.0,,,,,0.0,0.0,29989.1
57.01,0.0,356.0,,,,,0.0,0.0,30444.4
58.01,0.0,356.0,,,,,0.0,0.0,29597.5
59.01,0.0,356.0,,,,,0.0,0.0,30061.0
60.01,0.0,356.0,,,,,0.0,0.0,30444.4
61.01,0.0,356.0,,,,,0.0,0.0,29621.8
62.01,0.0,356.0,,,,,0.0,0.0,30080.9
63.01,0.0,356.0,,,,,0.0,0.0,30444.4
64.01,0.0,356.0,,,,,0.0,0.0,29615.1
65.01,0.0,356.0,,,,,0.0,0.0,29881.7
66.01,0.0,356.0,,,,,0.0,0.0,30203.2
67.01,0.0,356.0,,,,,0.0,0.0,30055.5
68.01,0.0,356.0,,,,,0.0,0.0,29379.2
69.01,0.0,356.0,,,,,0.0,0.0,28894.7
70.01,0.0,356.0,,,,,0.0,0.0,29053.2
71.02,0.0,356.0,,,,,0.0,0.0,29278.7
72.02,0.0,356.0,,,,,0.0,0.0,29280.3
73.02,0.0,356.0,,,,,0.0,0.0,29477.1
74.02,0.0,356.0,,,,,0.0,0.0,29585.9
75.02,0.0,356.0,,,,,0.0,0.0,29627.6
76.02,0.0,356.0,,,,,0.0,0.0,29491.8
77.02,0.0,356.0,,,,,0.0,0.0,29335.2
78.02,0.0,356.0,,,,,0.0,0.0,29432.5
79.02,0.0,356.0,,,,,0.0,0.0,29791.8
80.02,0.0,356.0,,,,,0.0,0.0,30111.3
81.02,0.0,356.0,,,,,0.0,0.0,29742.7
82.02,0.0,356.0,,,,,0.0,0.0,30270.3
83.02,0.0,356.0,,,,,0.0,0.0,30517.1
84.02,0.0,356.0,,,,,0.0,0.0,30796.4
