t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,,,,,,,,,
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,2235.0
18.0,0.0,0.0,,,,,0.0,0.0,2235.0
19.0,0.0,0.0,,,,,0.0,0.0,2235.0
20.0,0.0,0.0,,,,,0.0,0.0,2235.0
21.0,0.0,0.0,,,,,0.0,0.0,2235.0
22.0,0.0,0.0,,,,,0.0,0.0,2235.0
23.0,0.0,3.4,,,,,0.0,0.0,2239.2
24.0,0.22,356.0,,,,,0.21,0.22,3153.6
25.0,0.0,356.0,,,,,0.0,0.0,3980.9
26.0,0.0,356.0,,,,,0.0,0.0,4702.0
27.0,0.0,356.0,,,,,0.0,0.0,6001.8
28.01,0.0,356.0,,,,,0.0,0.0,6768.7
29.01,0.0,356.0,,,,,0.0,0.0,8097.1
30.01,0.0,356.0,,,,,0.0,0.0,8873.7
31.01,0.0,356.0,,,,,0.0,0.0,10217.5
32.01,0.0,356.0,,,,,0.0,0.0,10995.9
33.01,0.0,356.0,,,,,0.0,0.0,12352.4
34.01,0.0,356.0,,,,,0.0,0.0,13055.5
35.01,0.0,356.0,,,,,0.0,0.0,14365.3
36.01,0.0,356.0,,,,,0.0,0.0,15181.9
37.01,0.0,356.0,,,,,0.0,0.0,16379.2
38.01,0.0,356.0,,,,,0.0,0.0,18092.2
39.01,0.0,356.0,,,,,0.0,0.0,17977.9
40.01,0.0,356.0,,,,,0.0,0.0,18345.3
41.01,0.0,356.0,,,,,0.0,0.0,18629.9
42.01,0.0,356.0,,,,,0.0,0.0,17605.5
43.01,0.0,356.0,,,,,0.0,0.0,17970.7
44.01,0.0,356.0,,,,,0.0,0.0,18334.3
45.01,0.0,356.0,,,,,0.0,0.0,18567.5
46.01,0.0,356.0,,,,,0.0,0.0,17572.4
47.01,0.0,356.0,,,,,0.0,0.0,17928.7
48.01,0.0,356.0,,,,,0.0,0.0,18283.6
49.01,0.0,356.0,,,,,0.0,0.0,18476.4
50.01,0.0,356.0,,,,,0.0,0.0,17521.8
51.01,0.0,356.0,,,,,0.0,0.0,17879.6
52.01,0.0,356.0,,,,,0.0,0.0,18238.3
53.01,0.0,356.0,,,,,0.0,0.0,18410.1
54.01,0.0,356.0,,,,,0.0,0.0,18159.8
55.01,0.0,356.0,,,,,0.0,0.0,17844.4
56.01,0.0,356.0,,,,,0.0,0.0,18204.7
57.01,0.0,356.0,,,,,0.0,0.0,18410.1
58.01,0.0,356.0,,,,,0.0,0.0,19006.0
59.01,0.0,356.0,,,,,0.0,0.0,17816.4
60.01,0.0,356.0,,,,,0.0,0.0,18179.0
61.01,0.0,356.0,,,,,0.0,0.0,18410.1
62.01,0.0,356.0,,,,,0.0,0.0,19048.1
63.01,0.0,356.0,,,,,0.0,0.0,17797.8
64.01,0.0,356.0,,,,,0.0,0.0,18152.8
65.01,0.0,356.0,,,,,0.0,0.0,18341.7
66.01,0.0,356.0,,,,,0.0,0.0,18992.3
67.01,0.0,356.0,,,,,0.0,0.0,19492.7
68.01,0.0,356.0,,,,,0.0,0.0,20002.8
69.01,0.0,356.0,,,,,0.0,0.0,20491.6
70.01,0.0,356.0,,,,,0.0,0.0,20992.0
71.01,0.0,356.0,,,,,0.0,0.0,21492.4
