t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,,,,,,,,,
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,0.0
18.0,0.0,0.0,,,,,0.0,0.0,0.0
19.0,0.0,0.0,,,,,0.0,0.0,0.0
20.0,0.0,0.0,,,,,0.0,0.0,0.0
21.0,0.0,0.0,,,,,0.0,0.0,2212.2
22.0,0.0,0.0,,,,,0.0,0.0,2212.0
23.0,0.0,0.0,,,,,0.0,0.0,2212.0
24.0,0.0,0.0,,,,,0.0,0.0,2212.0
25.0,0.0,0.0,,,,,0.0,0.0,2212.0
26.0,0.0,0.0,,,,,0.0,0.0,2212.0
27.0,0.0,0.0,,,,,0.0,0.0,2212.0
28.0,0.21,356.0,,,,,0.21,0.22,2349.8
29.0,0.0,356.0,,,,,0.0,0.0,4949.3
30.0,0.0,356.0,,,,,0.0,0.0,4449.7
31.0,0.0,356.0,,,,,0.0,0.0,5370.1
32.0,0.0,356.0,,,,,0.0,0.0,6695.4
33.0,0.0,356.0,,,,,0.0,0.0,7604.9
34.0,0.0,356.0,,,,,0.0,0.0,8489.2
35.0,0.0,356.0,,,,,0.0,0.0,9522.9
36.0,0.0,356.0,,,,,0.0,0.0,10709.8
37.0,0.0,356.0,,,,,0.0,0.0,11780.8
38.01,0.0,356.0,,,,,0.0,0.0,12660.1
39.01,0.0,356.0,,,,,0.0,0.0,13637.6
40.01,0.0,356.0,,,,,0.0,0.0,14721.3
41.01,0.0,356.0,,,,,0.0,0.0,15715.7
42.01,0.0,356.0,,,,,0.0,0.0,16749.8
43.01,0.0,356.0,,,,,0.0,0.0,19050.1
44.01,0.0,356.0,,,,,0.0,0.0,19641.7
45.01,0.0,356.0,,,,,0.0,0.0,19620.9
46.01,0.0,356.0,,,,,0.0,0.0,20622.7
47.01,0.0,356.0,,,,,0.0,0.0,21615.1
48.01,0.0,356.0,,,,,0.0,0.0,22549.7
49.01,0.0,356.0,,,,,0.0,0.0,23492.0
50.01,0.0,356.0,,,,,0.0,0.0,24375.9
51.01,0.0,356.0,,,,,0.0,0.0,25141.7
52.01,0.0,356.0,,,,,0.0,0.0,25249.5
53.01,0.0,356.0,,,,,0.0,0.0,25247.0
54.03,0.0,356.0,,,,,0.0,0.0,25248.7
55.03,0.0,356.0,,,,,0.0,0.0,25143.4
56.04,0.0,356.0,,,,,0.0,0.0,25056.9
57.04,0.0,356.0,,,,,0.0,0.0,24980.6
58.04,0.0,356.0,,,,,0.0,0.0,25041.9
59.04,0.0,356.0,,,,,0.0,0.0,25072.3
60.04,0.0,356.0,,,,,0.0,0.0,24983.5
61.04,0.0,356.0,,,,,0.0,0.0,25139.9
62.04,0.0,356.0,,,,,0.0,0.0,25262.6
63.04,0.0,356.0,,,,,0.0,0.0,25257.5
64.04,0.0,356.0,,,,,0.0,0.0,23749.9
65.04,0.0,356.0,,,,,0.0,0.0,19061.7
66.04,0.0,356.0,,,,,0.0,0.0,19875.6
67.04,0.0,356.0,,,,,0.0,0.0,19703.3
68.04,0.0,356.0,,,,,0.0,0.0,19319.3
69.04,0.0,356.0,,,,,0.0,0.0,18935.3
70.04,0.0,356.0,,,,,0.0,0.0,18562.1
71.04,0.0,356.0,,,,,0.0,0.0,18799.4
72.04,0.0,356.0,,,,,0.0,0.0,18704.8
