t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,host_mem_used_mib
0.0,,,,,,,,,
1.0,,,,,,,,,
2.0,0.0,0.0,,,,,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,2223.9
11.0,0.0,0.0,,,,,0.0,0.0,2223.9
12.0,0.0,0.0,,,,,0.0,0.0,2223.9
13.0,0.0,0.0,,,,,0.0,0.0,2223.9
14.0,0.0,0.0,,,,,0.0,0.0,2223.9
15.0,0.0,3.4,,,,,0.0,0.0,2228.4
16.0,0.21,356.0,,,,,0.21,0.21,2604.5
17.0,0.0,356.0,,,,,0.0,0.0,3867.6
18.0,0.0,356.0,,,,,0.0,0.0,4732.8
19.0,0.0,356.0,,,,,0.0,0.0,4991.3
20.0,0.0,356.0,,,,,0.0,0.0,5288.5
21.0,0.0,356.0,,,,,0.0,0.0,5697.3
22.0,0.0,356.0,,,,,0.0,0.0,9434.4
23.0,0.02,356.7,,,,,0.02,0.02,5533.2
24.0,0.0,356.7,,,,,0.0,0.0,5533.2
25.0,8.36,1644.2,,,,,5.06,11.66,5461.0
26.0,0.0,2548.7,,,,,0.0,0.0,5337.8
27.0,0.0,2548.7,,,,,0.0,0.0,5364.5
28.0,0.0,2548.7,,,,,0.0,0.0,5364.5
29.0,0.0,2548.7,,,,,0.0,0.0,5364.5
30.0,0.0,2548.7,,,,,0.0,0.0,5364.6
31.0,0.0,2548.7,,,,,0.0,0.0,5364.6
32.0,0.0,2548.7,,,,,0.0,0.0,5364.6
33.0,0.0,2548.7,,,,,0.0,0.0,5364.6
34.01,0.0,2548.7,,,,,0.0,0.0,5364.6
35.01,0.0,2548.7,,,,,0.0,0.0,5364.6
36.01,0.0,2548.7,,,,,0.0,0.0,5364.6
37.01,0.0,2548.7,,,,,0.0,0.0,5364.6
38.01,0.0,2548.7,,,,,0.0,0.0,5364.6
39.01,0.0,2548.7,,,,,0.0,0.0,5364.6
40.01,0.0,2548.7,,,,,0.0,0.0,5364.6
41.01,0.0,2548.7,,,,,0.0,0.0,5364.6
42.01,0.0,2548.7,,,,,0.0,0.0,5364.6
43.01,0.0,2548.7,,,,,0.0,0.0,5364.6
44.01,0.0,2548.7,,,,,0.0,0.0,5364.6
45.02,0.0,2548.7,,,,,0.0,0.0,5364.6
46.02,0.0,2548.7,,,,,0.0,0.0,5364.6
47.02,0.0,2548.7,,,,,0.0,0.0,5364.6
48.02,0.0,2548.7,,,,,0.0,0.0,5364.6
49.02,0.0,2548.7,,,,,0.0,0.0,5364.6
50.02,0.0,2548.7,,,,,0.0,0.0,5364.6
51.02,0.0,2548.7,,,,,0.0,0.0,5364.6
52.02,0.0,2548.7,,,,,0.0,0.0,5364.6
53.02,0.0,2548.7,,,,,0.0,0.0,5364.6
54.02,0.0,2548.7,,,,,0.0,0.0,5364.6
55.02,0.0,2548.7,,,,,0.0,0.0,5364.6
56.02,0.0,2548.7,,,,,0.0,0.0,5364.6
57.02,0.0,2548.7,,,,,0.0,0.0,5364.6
58.02,0.0,2548.7,,,,,0.0,0.0,5364.6
59.02,0.0,2548.7,,,,,0.0,0.0,5364.6
60.02,0.0,2548.7,,,,,0.0,0.0,5364.6
61.02,0.0,2548.7,,,,,0.0,0.0,5364.6
62.02,0.0,2548.7,,,,,0.0,0.0,5364.6
63.02,0.0,2548.7,,,,,0.0,0.0,5364.6
64.02,0.0,2548.7,,,,,0.0,0.0,5364.6
65.02,0.0,2548.7,,,,,0.0,0.0,5364.6
66.02,0.0,2548.7,,,,,0.0,0.0,5364.6
67.02,0.0,2548.7,,,,,0.0,0.0,5364.6
68.02,0.0,2548.7,,,,,0.0,0.0,5364.6
69.02,0.0,2548.7,,,,,0.0,0.0,5364.6
70.03,0.0,2548.7,,,,,0.0,0.0,5364.6
