t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,955.4
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,955.4
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,955.4
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,955.4
9.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.6
10.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,1281.5
11.0,0.0,7.3,,,,,0.0,0.0,0.0,0.0,1306.9
12.0,0.0,7.3,,,,,0.0,0.0,0.0,0.0,1306.9
13.0,0.0,7.3,,,,,0.0,0.0,0.0,0.0,1306.9
14.0,0.0,7.3,,,,,0.0,0.0,0.0,0.0,1306.9
15.0,0.0,7.3,,,,,0.0,0.0,0.0,0.0,1306.9
16.0,0.0,7.3,,,,,0.0,0.0,0.0,0.0,1306.9
17.0,0.0,7.3,,,,,0.0,0.0,0.0,0.0,1306.9
18.0,0.0,7.3,,,,,0.0,0.0,0.0,0.0,1306.9
19.0,0.0,7.3,,,,,0.0,0.0,0.0,0.0,1306.9
20.0,0.0,7.3,,,,,0.0,0.0,0.0,0.0,1306.9
21.0,0.0,7.3,,,,,0.0,0.0,0.0,0.0,1306.9
22.0,0.0,7.3,,,,,0.0,0.0,0.0,0.0,1306.9
23.01,0.0,7.3,,,,,0.0,0.0,0.0,0.0,1306.9
24.01,0.0,7.3,,,,,0.0,0.0,0.0,0.0,1306.9
25.01,0.0,7.3,,,,,0.0,0.0,0.0,0.0,1306.9
26.01,0.0,7.3,,,,,0.0,0.0,0.0,0.0,1306.9
27.01,0.0,7.3,,,,,0.0,0.0,0.0,0.0,1306.9
28.01,0.0,7.3,,,,,0.0,0.0,0.0,0.0,1306.9
29.01,0.0,7.3,,,,,0.0,0.0,0.0,0.0,1306.9
30.01,0.0,7.3,,,,,0.0,0.0,0.0,0.0,1306.9
31.01,0.0,7.3,,,,,0.0,0.0,0.0,0.0,1306.9
32.01,0.21,314.0,,,,,0.0,0.0,0.83,0.0,1510.1
33.01,0.0,314.0,,,,,0.0,0.0,0.0,0.0,1510.1
34.01,0.0,314.0,,,,,0.0,0.0,0.0,0.0,1510.1
35.01,0.0,314.0,,,,,0.0,0.0,0.0,0.0,1510.1
36.01,0.0,314.0,,,,,0.0,0.0,0.0,0.0,1510.1
37.01,0.0,314.0,,,,,0.0,0.0,0.0,0.0,1510.1
38.01,0.0,314.0,,,,,0.0,0.0,0.0,0.0,1510.1
39.01,0.0,314.0,,,,,0.0,0.0,0.0,0.0,1510.1
40.01,0.0,314.0,,,,,0.0,0.0,0.0,0.0,1510.1
41.01,0.0,314.0,,,,,0.0,0.0,0.0,0.0,1510.1
42.01,0.0,314.0,,,,,0.0,0.0,0.0,0.0,1510.1
43.01,0.0,314.0,,,,,0.0,0.0,0.0,0.0,1510.1
44.01,0.0,314.0,,,,,0.0,0.0,0.0,0.0,1510.1
45.01,0.0,314.0,,,,,0.0,0.0,0.0,0.0,1510.1
46.01,0.0,314.0,,,,,0.0,0.0,0.0,0.0,1510.1
47.01,0.0,314.0,,,,,0.0,0.0,0.0,0.0,1510.1
48.01,0.0,314.0,,,,,0.0,0.0,0.0,0.0,1510.1
49.01,0.0,314.0,,,,,0.0,0.0,0.0,0.0,1510.1
50.01,0.0,314.0,,,,,0.0,0.0,0.0,0.0,1510.1
51.01,0.0,314.0,,,,,0.0,0.0,0.0,0.0,1510.1
52.01,0.0,314.0,,,,,0.0,0.0,0.0,0.0,1510.1
53.01,0.0,314.0,,,,,0.0,0.0,0.0,0.0,1510.1
54.01,7.2,426.4,,,,,0.0,0.0,28.82,0.0,1646.8
55.01,7.21,424.0,,,,,0.0,0.0,28.85,0.0,1647.0
56.01,0.0,424.0,,,,,0.0,0.0,0.0,0.0,1647.0
57.01,0.0,424.0,,,,,0.0,0.0,0.0,0.0,1647.0
