t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,955.5
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,955.5
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,955.5
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,955.5
9.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.1
10.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.6
11.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
12.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
13.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
14.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
15.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
16.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
17.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
18.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
19.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
20.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
21.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
22.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
23.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
24.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
25.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
26.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
27.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
28.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
29.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
30.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
31.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
32.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
33.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
34.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
35.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
36.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
37.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
38.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
39.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
40.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
41.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
42.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
43.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
44.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
45.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
46.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
47.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
48.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
49.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
50.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
51.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
52.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
53.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
54.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
55.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
56.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
57.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
58.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
59.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.8
