t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,954.7
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,954.7
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,954.7
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,954.7
9.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,958.9
10.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,1280.8
