t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,955.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,955.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,955.0
8.0,0.0,5.4,,,,,0.0,0.0,0.0,0.0,1038.7
9.0,0.0,5.4,,,,,0.0,0.0,0.0,0.0,1038.7
10.0,0.0,5.4,,,,,0.0,0.0,0.0,0.0,1038.7
11.0,0.0,5.4,,,,,0.0,0.0,0.0,0.0,1038.7
12.0,0.0,5.4,,,,,0.0,0.0,0.0,0.0,1038.7
13.0,0.0,5.4,,,,,0.0,0.0,0.0,0.0,1038.7
14.0,0.0,5.4,,,,,0.0,0.0,0.0,0.0,1038.7
15.0,0.0,5.4,,,,,0.0,0.0,0.0,0.0,1038.7
16.0,0.0,5.4,,,,,0.0,0.0,0.0,0.0,1038.7
17.0,0.0,5.4,,,,,0.0,0.0,0.0,0.0,1038.7
18.0,0.0,5.4,,,,,0.0,0.0,0.0,0.0,1038.7
19.0,0.11,175.2,,,,,0.0,0.0,0.46,0.0,1159.6
20.0,0.0,175.2,,,,,0.0,0.0,0.0,0.0,1159.6
21.0,0.0,175.2,,,,,0.0,0.0,0.0,0.0,1159.6
22.0,0.0,175.2,,,,,0.0,0.0,0.0,0.0,1159.6
23.0,0.0,175.2,,,,,0.0,0.0,0.0,0.0,1159.6
24.0,0.0,175.2,,,,,0.0,0.0,0.0,0.0,1159.6
25.0,0.0,175.2,,,,,0.0,0.0,0.0,0.0,1159.6
26.01,0.0,175.2,,,,,0.0,0.0,0.0,0.0,1159.6
27.01,0.0,175.2,,,,,0.0,0.0,0.0,0.0,1159.6
28.01,0.0,175.2,,,,,0.0,0.0,0.0,0.0,1159.6
29.01,0.0,175.2,,,,,0.0,0.0,0.0,0.0,1159.6
30.01,0.35,278.9,,,,,0.0,0.0,1.39,0.0,1264.6
31.01,13.55,279.3,,,,,0.0,0.0,54.21,0.0,1264.6
32.01,13.55,277.7,,,,,0.0,0.0,54.19,0.0,1264.9
33.01,13.45,279.3,,,,,0.0,0.0,53.8,0.0,1265.1
34.01,13.2,279.3,,,,,0.0,0.0,52.8,0.0,1265.5
35.01,0.0,281.9,,,,,0.0,0.0,0.0,0.0,1268.1
36.01,0.0,281.9,,,,,0.0,0.0,0.0,0.0,1268.1
37.01,0.0,281.9,,,,,0.0,0.0,0.0,0.0,1268.1
38.01,0.0,281.9,,,,,0.0,0.0,0.0,0.0,1268.1
39.01,0.0,287.6,,,,,0.0,0.0,0.0,0.0,1302.2
40.01,12.3,285.0,,,,,0.0,0.0,49.18,0.0,1306.1
41.01,13.32,285.0,,,,,0.0,0.0,53.29,0.0,1306.3
42.01,13.44,285.0,,,,,0.0,0.0,53.76,0.0,1306.5
43.01,13.67,285.0,,,,,0.0,0.0,54.69,0.0,1306.8
44.01,11.14,283.3,,,,,0.0,0.0,44.57,0.0,1307.0
45.01,13.55,285.0,,,,,0.0,0.0,54.19,0.0,1307.2
46.01,14.02,283.3,,,,,0.0,0.0,56.08,0.0,1307.4
47.01,14.15,283.3,,,,,0.0,0.0,56.58,0.0,1307.7
48.01,10.91,285.0,,,,,0.0,0.0,43.63,0.0,1307.9
49.01,13.54,285.0,,,,,0.0,0.0,54.18,0.0,1308.1
50.01,13.67,285.0,,,,,0.0,0.0,54.68,0.0,1308.3
51.01,13.56,285.0,,,,,0.0,0.0,54.25,0.0,1308.6
52.01,11.14,285.0,,,,,0.0,0.0,44.56,0.0,1308.7
53.01,14.37,284.6,,,,,0.0,0.0,57.46,0.0,1309.0
54.01,13.89,285.0,,,,,0.0,0.0,55.58,0.0,1309.2
55.01,13.79,283.3,,,,,0.0,0.0,55.15,0.0,1309.5
56.01,11.72,287.6,,,,,0.0,0.0,46.89,0.0,1309.7
