t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,954.9
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,954.9
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,954.9
8.0,0.0,0.1,,,,,0.0,0.0,0.0,0.0,956.6
9.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.3
10.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.3
11.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.3
12.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.3
13.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,959.3
14.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,960.1
15.0,0.0,4.9,,,,,0.0,0.0,0.0,0.0,1042.7
16.0,0.0,4.9,,,,,0.0,0.0,0.0,0.0,1042.7
17.0,0.0,4.9,,,,,0.0,0.0,0.0,0.0,1042.7
18.0,0.0,7.7,,,,,0.0,0.0,0.01,0.0,1054.8
19.0,0.0,7.7,,,,,0.0,0.0,0.0,0.0,1054.8
20.0,0.0,7.7,,,,,0.0,0.0,0.0,0.0,1054.8
21.0,0.0,8.3,,,,,0.0,0.0,0.0,0.0,1063.8
22.0,0.8,8.4,,,,,0.0,0.0,3.21,0.0,1066.4
23.0,0.3,12.1,,,,,0.0,0.0,1.18,0.0,1069.4
24.0,0.0,12.1,,,,,0.0,0.0,0.0,0.0,1069.4
25.01,0.7,9.9,,,,,0.0,0.0,2.79,0.0,1078.2
26.01,0.69,10.3,,,,,0.0,0.0,2.75,0.0,1079.0
27.01,0.84,10.3,,,,,0.0,0.0,3.38,0.0,1079.8
28.01,0.71,8.9,,,,,0.0,0.0,2.82,0.0,1080.5
29.01,0.64,9.6,,,,,0.0,0.0,2.57,0.0,1081.5
30.01,0.83,8.9,,,,,0.0,0.0,3.31,0.0,1082.0
