t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,955.6
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,955.6
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,955.6
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,955.6
9.0,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
10.0,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
11.0,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
12.0,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
13.0,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
14.0,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
15.0,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
16.0,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
17.0,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
18.0,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
19.0,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
20.0,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
21.0,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
22.0,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
23.0,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
24.0,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
25.0,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
26.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
27.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
28.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
29.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
30.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
31.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
32.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
33.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
34.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
35.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
36.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
37.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
38.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
39.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
40.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
41.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
42.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
43.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
44.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
45.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
46.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
47.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
48.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
49.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
50.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
51.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
52.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
53.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
54.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
55.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
56.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
57.01,0.0,4.4,,,,,0.0,0.0,0.0,0.0,1064.3
