t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4479.2
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4479.2
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4479.2
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4479.2
12.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4480.8
13.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4480.8
14.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4480.8
15.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4480.8
16.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4480.8
17.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4480.8
18.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4480.8
19.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4480.8
20.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4480.8
21.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4480.8
22.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4480.8
23.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4480.8
24.0,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4542.5
25.0,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4542.5
26.0,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4542.5
27.0,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4542.5
28.01,0.0,78.1,,,,,0.0,0.0,0.0,0.0,4731.1
29.01,0.0,206.6,,,,,0.0,0.0,0.0,0.0,4979.8
30.01,0.0,206.6,,,,,0.0,0.0,0.0,0.0,7614.5
31.01,0.0,206.6,,,,,0.0,0.0,0.0,0.0,7121.8
32.01,0.0,206.6,,,,,0.0,0.0,0.0,0.0,8028.9
33.01,0.0,206.6,,,,,0.0,0.0,0.0,0.0,8940.9
34.01,0.01,335.5,,,,,0.01,0.01,0.01,0.01,9878.1
35.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,11816.2
36.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,12324.0
37.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,13532.9
38.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,14757.5
39.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,15950.2
40.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,17622.4
41.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,18712.8
42.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,19186.1
43.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20312.6
44.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,19740.9
45.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20858.3
46.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20306.9
47.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21433.5
48.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20676.2
49.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21386.7
50.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20533.3
51.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21239.5
52.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20595.0
53.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21059.4
54.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21715.4
55.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20928.1
56.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21950.2
57.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20848.5
