t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4490.5
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4490.5
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4490.5
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4490.5
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4490.5
13.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4490.5
14.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4490.5
15.0,0.01,335.5,,,,,0.01,0.02,0.02,0.02,4706.6
16.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6168.4
17.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8354.6
18.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8582.5
19.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8715.3
20.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,13997.6
21.0,0.03,338.7,,,,,0.02,0.03,0.04,0.03,7950.7
22.0,0.0,338.7,,,,,0.0,0.0,0.0,0.0,7955.0
23.0,0.0,338.7,,,,,0.0,0.0,0.0,0.0,7983.3
24.0,0.03,2581.6,,,,,0.03,0.03,0.04,0.02,8074.3
25.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,8154.7
26.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,8154.7
27.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,8155.0
28.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,8229.3
29.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,9396.3
30.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,11728.7
31.01,0.0,4015.0,,,,,0.0,0.0,0.0,0.0,12499.6
32.01,0.0,4504.7,,,,,0.0,0.0,0.0,0.0,13638.9
33.01,15.54,4588.9,,,,,15.54,15.54,15.54,15.54,10402.3
34.01,0.0,4588.9,,,,,0.0,0.0,0.0,0.0,10404.6
35.01,0.0,4588.9,,,,,0.0,0.0,0.0,0.0,10612.3
36.01,0.0,4588.9,,,,,0.0,0.0,0.0,0.0,10709.1
37.01,0.0,4588.9,,,,,0.0,0.0,0.0,0.0,13636.5
38.01,0.0,4613.1,,,,,0.0,0.0,0.0,0.0,15239.4
39.01,0.0,4909.5,,,,,0.0,0.0,0.0,0.0,16309.5
40.01,31.25,5011.6,,,,,31.24,31.25,31.25,31.25,13032.1
41.01,31.23,5016.3,,,,,31.21,31.24,31.24,31.23,13032.9
42.01,46.89,4966.0,,,,,46.86,46.89,46.9,46.9,13512.6
43.01,0.41,5287.4,,,,,0.4,0.41,0.41,0.41,14396.6
44.01,15.64,5287.8,,,,,15.63,15.64,15.64,15.63,13892.8
45.01,46.86,5287.8,,,,,46.85,46.88,46.89,46.85,13897.5
46.01,46.85,5287.8,,,,,46.83,46.87,46.87,46.83,14057.5
47.01,15.62,5263.3,,,,,15.62,15.63,15.63,15.62,15011.5
48.01,16.15,5314.5,,,,,16.12,16.16,16.16,16.16,14685.5
49.01,46.88,5319.0,,,,,46.86,46.89,46.91,46.87,14678.9
50.01,31.23,5319.1,,,,,31.24,31.22,31.25,31.23,14672.8
51.01,47.41,5319.0,,,,,47.4,47.41,47.41,47.41,14681.1
52.01,46.86,5319.0,,,,,46.85,46.86,46.89,46.85,14678.0
53.01,31.26,5319.1,,,,,31.25,31.25,31.27,31.27,14684.9
54.01,47.37,5319.0,,,,,47.35,47.35,47.39,47.37,14677.9
55.01,31.26,5319.1,,,,,31.26,31.27,31.27,31.26,14696.1
56.01,46.84,5319.1,,,,,46.84,46.83,46.85,46.84,14693.0
57.01,31.8,5319.1,,,,,31.8,31.78,31.82,31.8,14699.7
