t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1312.1
25.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1312.1
26.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1312.1
27.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1312.1
28.01,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1312.1
29.01,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1312.1
30.01,0.0,14.4,,,,,0.0,0.0,0.0,0.0,1324.8
31.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
32.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
33.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
34.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
35.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
36.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
37.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
38.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
39.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
40.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
41.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
42.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
43.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
44.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
45.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
46.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
47.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
48.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
49.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
50.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
51.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
52.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
53.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
54.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
55.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
56.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
57.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
58.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1920.5
