t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4428.0
24.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4428.0
25.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4428.0
26.01,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4428.0
27.01,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4428.0
28.01,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4428.0
29.01,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4433.0
30.01,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4433.0
31.01,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4433.0
32.01,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4433.0
33.01,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4433.0
34.01,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4433.0
35.01,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4433.0
36.01,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4433.0
37.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4447.9
38.01,0.01,335.5,,,,,0.01,0.01,0.01,0.01,5024.4
39.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6435.1
40.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7561.4
41.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8742.5
42.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,9918.4
43.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,11126.2
44.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,12353.5
45.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,13577.0
46.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,14809.6
47.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,16040.7
48.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,17279.7
49.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,18537.4
50.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21513.8
51.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21613.3
52.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20412.2
53.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21613.3
54.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20306.6
55.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21610.7
56.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20204.1
57.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21581.2
58.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20112.3
