t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4507.4
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4507.4
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4507.4
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4507.4
12.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4509.0
13.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4509.0
14.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4509.0
15.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4509.0
16.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4509.0
17.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4509.0
18.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4509.0
19.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4509.0
20.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4509.0
21.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4509.0
22.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4509.0
23.0,0.01,335.5,,,,,0.01,0.01,0.01,0.01,4715.4
24.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7982.4
25.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6921.8
26.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8100.6
27.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,9163.0
28.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,10807.2
29.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,12035.6
30.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,13356.5
31.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,14454.9
32.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,15554.4
33.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,16669.1
34.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,17772.6
35.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,18911.9
36.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,23466.2
37.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20329.6
38.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21627.8
39.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20051.5
40.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21378.6
41.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21806.2
42.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21111.9
43.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22281.6
44.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20798.8
45.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21780.8
46.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20494.8
47.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21694.1
48.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20191.0
49.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21491.3
50.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20573.0
51.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21261.0
52.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22593.6
53.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20998.4
54.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22105.6
55.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20729.1
56.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21745.6
57.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20465.1
