t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4508.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4508.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4508.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4508.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4508.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4508.0
14.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4512.7
15.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4512.7
16.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4512.7
17.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4512.7
18.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4512.7
19.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4512.7
20.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4512.7
21.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4512.7
22.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4512.7
23.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4512.7
24.0,0.01,335.5,,,,,0.01,0.01,0.01,0.01,4718.1
25.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7739.7
26.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6801.4
27.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8124.2
28.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,9317.3
29.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,10517.4
30.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,11731.3
31.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,12939.0
32.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,14141.0
33.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,15361.3
34.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,16566.3
35.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,18018.4
36.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,19482.3
37.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20091.0
38.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21229.8
39.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21881.8
40.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21100.6
41.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22141.3
42.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20973.2
43.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22204.2
44.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20839.3
45.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21982.9
46.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20717.3
47.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21884.3
48.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20592.3
49.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21853.6
50.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20475.6
51.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21820.6
52.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20363.8
53.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21714.7
54.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20264.4
55.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21604.9
56.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20161.7
57.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21489.9
