t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4502.3
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4502.3
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4502.3
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4502.3
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4502.3
13.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4503.9
14.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4503.9
15.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4503.9
16.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4503.9
17.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4503.9
18.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4503.9
19.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4503.9
20.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4503.9
21.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4503.9
22.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4503.9
23.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4503.9
24.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4503.9
25.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4503.9
26.0,0.01,335.5,,,,,0.01,0.01,0.01,0.01,4871.0
27.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6346.8
28.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7568.1
29.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8788.6
30.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,9973.0
31.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,11176.8
32.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,12396.1
33.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,13621.5
34.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,14853.6
35.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,16089.8
36.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,17327.6
37.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,18554.9
38.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21610.7
39.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21775.4
40.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20560.7
41.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21717.3
42.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20492.9
43.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21687.4
44.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20403.2
45.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21683.6
46.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20328.8
47.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21661.5
48.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20240.4
49.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21613.9
50.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20141.2
51.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21540.7
52.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20048.3
53.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21445.2
54.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20824.5
55.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21357.6
56.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21350.9
57.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21275.2
