t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,942.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,942.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,942.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,942.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,942.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,942.0
11.0,0.0,13.8,,,,,0.0,0.0,0.0,0.0,947.4
12.0,0.0,14.1,,,,,0.0,0.0,0.0,0.0,985.1
