t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4503.4
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4503.4
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4503.4
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4503.4
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4503.4
13.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4503.4
14.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4503.4
15.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4503.4
16.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4508.0
17.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4508.0
18.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4508.0
19.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4508.0
20.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4508.0
21.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4508.0
22.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4508.0
23.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4508.0
24.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4508.0
25.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4508.0
26.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4508.0
27.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4508.0
28.01,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4508.0
29.01,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4508.0
30.01,0.01,335.5,,,,,0.01,0.01,0.01,0.01,4713.0
31.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8161.6
32.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6745.7
33.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7993.4
34.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,9202.2
35.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,10540.6
36.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,11827.9
37.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,13126.8
38.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,14338.9
39.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,15562.3
40.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,16779.5
41.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,18112.2
42.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,19387.7
43.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20192.5
44.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21532.9
45.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20086.3
46.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21445.0
47.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21462.2
48.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21368.5
49.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21350.0
50.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21267.7
51.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21928.2
52.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21160.3
53.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21756.3
54.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21056.3
55.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21782.9
56.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20956.1
57.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22196.4
