t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4485.3
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4485.3
13.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4485.3
14.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4485.3
15.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4485.3
16.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4485.3
17.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4493.7
18.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4490.1
19.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4490.1
20.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4490.1
21.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4490.1
22.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4490.1
23.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4490.1
24.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4490.1
25.0,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4498.5
26.0,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4524.0
27.0,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
28.0,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
29.0,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
30.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
31.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
32.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
33.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
34.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
35.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
36.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
37.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
38.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
39.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
40.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
41.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
42.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
43.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
44.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
45.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
46.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
47.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
48.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
49.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
50.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
51.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
52.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
53.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
54.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
55.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
56.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
57.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
58.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4547.0
