t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
29.01,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1768.7
30.01,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1768.7
31.01,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1768.7
32.01,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1768.7
33.01,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1768.7
34.01,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1768.7
35.01,0.0,0.0,,,,,0.0,0.0,0.0,0.0,1768.7
36.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
37.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
38.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
39.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
40.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
41.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
42.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
43.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
44.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
45.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
46.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
47.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
48.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
49.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
50.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
51.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
52.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
53.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
54.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
55.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
56.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
57.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
58.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,1798.1
