t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4494.8
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4494.8
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4494.8
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4494.8
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4495.1
13.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4496.3
14.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4496.3
15.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4496.3
16.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4496.3
17.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4496.3
18.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4496.3
19.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4496.3
20.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4496.3
21.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4496.3
22.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4496.3
23.0,0.01,335.5,,,,,0.01,0.01,0.01,0.01,4714.1
24.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5840.1
25.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7324.4
26.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8520.0
27.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,9657.1
28.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,11069.9
29.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,12413.4
30.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,13585.3
31.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,14784.1
32.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,15995.0
33.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,17197.6
34.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,18398.1
35.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20306.3
36.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21057.7
37.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22369.0
38.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20943.3
39.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22160.9
40.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20826.0
41.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22036.1
42.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20684.8
43.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21916.2
44.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20541.9
45.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21742.8
46.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20368.4
47.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21607.0
48.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20202.6
49.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21536.1
50.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20792.0
51.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21423.1
52.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20597.4
53.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21252.5
54.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21852.6
55.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21089.6
56.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22372.1
57.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20902.3
