t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4484.5
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4484.5
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4484.5
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4484.5
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4484.5
13.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4486.1
14.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4486.1
15.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4486.1
16.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4486.1
17.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4486.1
18.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4486.1
19.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4486.1
20.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4486.1
21.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4486.1
22.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4486.1
23.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4486.1
24.0,0.01,335.5,,,,,0.01,0.01,0.01,0.01,4693.8
25.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7404.8
26.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6943.6
27.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8248.0
28.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,9415.8
29.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,10730.9
30.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,11919.9
31.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,13075.4
32.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,14262.3
33.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,15477.6
34.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,16680.1
35.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,17921.5
36.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,19113.4
37.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22764.5
38.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20650.4
39.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21842.1
40.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20547.0
41.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21774.0
42.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20423.2
43.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21719.6
44.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20309.2
45.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21633.4
46.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20202.0
47.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21514.9
48.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20675.3
49.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21388.8
50.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22194.2
51.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21251.1
52.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21983.4
53.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21141.1
54.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21744.9
55.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21013.5
56.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21525.2
57.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20903.1
