t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4496.1
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4496.1
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4496.1
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4496.1
12.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.6
13.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.6
14.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.6
15.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.6
16.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.6
17.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.6
18.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.6
19.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.6
20.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.6
21.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.6
22.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.6
23.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4561.8
24.01,0.0,78.1,,,,,0.0,0.0,0.0,0.0,4685.2
25.01,0.0,78.1,,,,,0.0,0.0,0.0,0.0,5058.4
26.01,0.0,78.1,,,,,0.0,0.0,0.0,0.0,5219.2
27.01,0.0,78.1,,,,,0.0,0.0,0.0,0.0,5284.2
28.01,0.03,335.5,,,,,0.03,0.01,0.03,0.03,5735.4
29.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8151.1
30.01,0.0,335.6,,,,,0.0,0.0,0.0,0.0,7461.1
31.01,0.0,335.6,,,,,0.0,0.0,0.0,0.0,7688.6
32.01,0.0,335.6,,,,,0.0,0.0,0.0,0.0,8017.3
33.01,0.0,335.6,,,,,0.0,0.0,0.0,0.0,11818.4
34.01,0.01,336.6,,,,,0.01,0.0,0.01,0.0,7813.1
35.01,0.0,336.8,,,,,0.0,0.0,0.0,0.0,7837.1
36.01,0.0,336.9,,,,,0.0,0.0,0.0,0.0,7839.4
37.01,0.0,336.9,,,,,0.0,0.0,0.0,0.0,7839.4
38.01,0.0,336.9,,,,,0.0,0.0,0.0,0.0,7839.4
39.01,0.0,337.4,,,,,0.0,0.0,0.0,0.0,7892.0
40.01,0.0,337.4,,,,,0.0,0.0,0.0,0.0,7892.0
41.01,0.0,337.4,,,,,0.0,0.0,0.0,0.0,7892.0
42.01,0.0,337.4,,,,,0.0,0.0,0.0,0.0,7892.0
43.01,0.0,337.4,,,,,0.0,0.0,0.0,0.0,7892.0
44.01,0.01,338.3,,,,,0.01,0.01,0.01,0.01,7940.4
45.01,0.0,338.4,,,,,0.0,0.0,0.0,0.0,7947.8
46.01,0.0,338.4,,,,,0.0,0.0,0.0,0.0,7947.8
47.01,0.0,338.4,,,,,0.0,0.0,0.0,0.0,7955.0
48.01,0.0,338.4,,,,,0.0,0.0,0.0,0.0,7955.0
49.01,0.0,338.6,,,,,0.0,0.0,0.0,0.0,7969.8
50.01,0.0,338.6,,,,,0.0,0.0,0.0,0.0,7969.8
51.01,0.0,338.6,,,,,0.0,0.0,0.0,0.0,7984.3
52.01,0.0,338.6,,,,,0.0,0.0,0.0,0.0,7984.3
53.01,0.0,338.6,,,,,0.0,0.0,0.0,0.0,7984.3
54.01,0.0,338.7,,,,,0.0,0.0,0.0,0.0,7991.7
55.01,0.0,338.7,,,,,0.0,0.0,0.0,0.0,7991.7
56.01,0.03,338.7,,,,,0.02,0.03,0.03,0.02,8003.7
57.01,0.0,2579.7,,,,,0.0,0.0,0.0,0.0,8029.2
