t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4495.9
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4495.9
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4495.9
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4495.9
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4495.9
13.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.5
14.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.5
15.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.5
16.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.5
17.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.5
18.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.5
19.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.5
20.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.5
21.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.5
22.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.5
23.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.5
24.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.5
25.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4497.5
26.0,0.01,335.5,,,,,0.01,0.01,0.01,0.01,4713.0
27.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,4713.2
28.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,4734.9
29.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,4738.0
30.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,4750.1
31.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,4909.5
32.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5030.3
33.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5162.3
34.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5261.5
35.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5876.2
36.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5318.3
37.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5897.3
38.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6097.3
39.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5194.1
40.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5194.1
41.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5194.1
42.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5194.1
43.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5194.1
44.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5194.1
45.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5194.1
46.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5194.1
47.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5194.1
48.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5194.1
49.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5194.1
50.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5194.1
51.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5194.1
52.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5194.1
53.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5194.1
54.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5194.1
55.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5194.1
56.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7199.5
57.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7245.0
