t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4489.3
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4489.3
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4489.3
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4489.3
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4489.3
13.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4490.9
14.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4490.9
15.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4490.9
16.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4490.9
17.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4490.9
18.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4490.9
19.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4490.9
20.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4490.9
21.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4490.9
22.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4490.9
23.0,0.0,270.9,,,,,0.0,0.0,0.0,0.0,4667.4
24.0,0.01,335.5,,,,,0.01,0.01,0.01,0.01,5401.1
25.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7140.1
26.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7434.0
27.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7777.2
28.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8317.5
29.01,0.02,338.7,,,,,0.02,0.02,0.02,0.02,7945.3
30.01,0.0,338.7,,,,,0.0,0.0,0.0,0.0,7955.0
31.01,0.0,338.7,,,,,0.0,0.0,0.0,0.0,7955.0
32.01,0.02,994.9,,,,,0.02,0.02,0.02,0.02,8052.1
33.01,0.0,7008.3,,,,,0.0,0.0,0.0,0.0,8431.9
34.01,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8138.2
35.01,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.1
36.01,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.4
37.01,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.4
38.01,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.4
39.01,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.4
40.01,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.4
41.01,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.4
42.01,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.4
43.01,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.4
44.01,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.4
45.01,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.4
46.01,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.4
47.01,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.4
48.01,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.4
49.02,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.4
50.02,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.4
51.02,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.4
52.02,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.4
53.02,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.4
54.02,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.4
55.02,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.4
56.02,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.4
57.02,0.0,6636.7,,,,,0.0,0.0,0.0,0.0,8186.4
