t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2244.7
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2244.7
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2244.7
11.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2246.3
12.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2246.3
13.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2246.3
14.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2246.3
15.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2246.3
16.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2246.3
17.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2246.3
18.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2246.3
19.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2246.3
20.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2246.3
21.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,2277.9
22.0,0.0,71.2,,,,,0.0,0.0,0.0,0.0,2310.1
23.0,0.0,71.2,,,,,0.0,0.0,0.0,0.0,2798.1
24.0,0.0,71.2,,,,,0.0,0.0,0.0,0.0,3450.0
25.0,0.0,71.2,,,,,0.0,0.0,0.0,0.0,3563.2
26.0,0.0,167.7,,,,,0.0,0.0,0.01,0.01,3837.2
27.01,0.0,167.7,,,,,0.0,0.0,0.0,0.0,4937.9
28.01,0.0,167.7,,,,,0.0,0.0,0.0,0.0,6986.9
29.01,0.0,167.9,,,,,0.0,0.0,0.0,0.0,5244.6
30.01,0.0,167.9,,,,,0.0,0.0,0.0,0.0,5397.9
31.01,0.0,167.9,,,,,0.0,0.0,0.0,0.0,6487.2
32.01,0.0,168.3,,,,,0.0,0.0,0.01,0.0,5434.2
33.01,0.0,168.5,,,,,0.0,0.0,0.0,0.0,5458.2
34.01,0.0,168.6,,,,,0.0,0.0,0.0,0.0,5460.4
35.01,0.0,168.6,,,,,0.0,0.0,0.0,0.0,5460.4
36.01,0.0,168.6,,,,,0.0,0.0,0.0,0.0,5460.4
37.01,0.01,169.2,,,,,0.0,0.0,0.02,0.01,5501.1
38.01,0.0,169.3,,,,,0.0,0.0,0.0,0.0,5506.1
39.01,0.0,169.3,,,,,0.0,0.0,0.0,0.0,5508.5
40.01,0.0,169.3,,,,,0.0,0.0,0.0,0.0,5508.5
41.01,0.0,169.3,,,,,0.0,0.0,0.0,0.0,5515.8
42.01,0.0,169.4,,,,,0.0,0.0,0.0,0.0,5520.8
43.01,0.0,169.4,,,,,0.0,0.0,0.0,0.0,5523.2
44.01,0.0,169.4,,,,,0.0,0.0,0.0,0.0,5523.2
45.01,0.01,1081.8,,,,,0.0,0.0,0.03,0.02,5444.1
46.01,0.0,2360.5,,,,,0.0,0.0,0.0,0.0,5277.9
47.01,0.0,2360.5,,,,,0.0,0.0,0.0,0.0,5277.9
48.01,0.0,2361.0,,,,,0.0,0.0,0.0,0.0,5311.7
49.01,0.0,2361.0,,,,,0.0,0.0,0.0,0.0,5312.7
50.01,0.0,2361.0,,,,,0.0,0.0,0.0,0.0,5312.7
51.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5327.0
52.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5347.6
53.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5347.6
54.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5347.6
55.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5347.6
56.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5347.6
57.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5347.6
