t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2239.4
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2239.4
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2239.4
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2239.4
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2239.4
13.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2239.4
14.0,0.0,167.7,,,,,0.0,0.0,0.01,0.01,2347.4
15.0,0.0,167.7,,,,,0.0,0.0,0.0,0.0,3430.3
16.0,0.0,167.7,,,,,0.0,0.0,0.0,0.0,4532.4
17.0,0.0,167.7,,,,,0.0,0.0,0.0,0.0,4949.7
18.0,0.0,167.7,,,,,0.0,0.0,0.0,0.0,5351.0
19.0,0.0,167.7,,,,,0.0,0.0,0.0,0.0,6429.5
20.0,0.0,167.7,,,,,0.0,0.0,0.0,0.0,8733.9
21.0,0.01,169.4,,,,,0.0,0.0,0.02,0.02,5502.9
22.0,0.0,169.4,,,,,0.0,0.0,0.0,0.0,5502.9
23.0,0.01,169.4,,,,,0.0,0.0,0.02,0.02,5519.9
24.0,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5293.4
25.0,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5334.2
26.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5334.2
27.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5334.3
28.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,3706.6
29.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5117.1
30.01,0.0,3880.0,,,,,0.0,0.0,0.0,0.0,5882.1
31.01,16.42,3959.5,,,,,0.0,0.0,32.84,32.84,4839.2
32.01,0.0,3959.5,,,,,0.0,0.0,0.0,0.0,4840.3
33.01,0.0,3959.5,,,,,0.0,0.0,0.0,0.0,4952.3
34.01,0.0,3959.5,,,,,0.0,0.0,0.0,0.0,5023.2
35.01,0.0,3959.5,,,,,0.0,0.0,0.0,0.0,6290.7
36.01,0.0,4052.7,,,,,0.0,0.0,0.0,0.0,7129.8
37.01,32.92,4084.2,,,,,0.0,0.0,65.84,65.84,5708.2
38.01,49.39,4084.2,,,,,0.0,0.0,98.77,98.78,5708.9
39.01,32.9,4053.1,,,,,0.0,0.0,65.82,65.8,5859.6
40.01,0.25,4255.5,,,,,0.0,0.0,0.51,0.51,6201.4
41.01,32.92,4264.1,,,,,0.0,0.0,65.84,65.83,6201.8
42.01,49.36,4264.1,,,,,0.0,0.0,98.74,98.72,6202.3
43.01,49.42,4224.5,,,,,0.0,0.0,98.85,98.82,6346.7
44.01,0.3,4273.7,,,,,0.0,0.0,0.6,0.6,6638.0
45.01,32.94,4282.3,,,,,0.0,0.0,65.89,65.89,6636.8
46.01,49.35,4282.3,,,,,0.0,0.0,98.71,98.71,6635.9
47.01,49.7,4273.6,,,,,0.0,0.0,99.41,99.39,6634.2
48.01,32.9,4273.7,,,,,0.0,0.0,65.8,65.81,6633.5
49.01,49.39,4273.7,,,,,0.0,0.0,98.78,98.78,6632.4
50.01,49.68,4273.6,,,,,0.0,0.0,99.38,99.35,6631.3
51.01,32.95,4273.7,,,,,0.0,0.0,65.92,65.89,6641.6
52.01,49.39,4273.7,,,,,0.0,0.0,98.81,98.76,6641.9
53.01,49.69,4273.6,,,,,0.0,0.0,99.4,99.34,6646.8
54.01,32.91,4273.7,,,,,0.0,0.0,65.82,65.8,6641.1
55.01,32.95,4282.3,,,,,0.0,0.0,65.91,65.88,6639.4
56.01,49.35,4304.8,,,,,0.0,0.0,98.73,98.67,6647.9
57.01,33.22,4273.7,,,,,0.0,0.0,66.44,66.43,6644.1
