t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2241.4
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2241.4
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2241.4
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2241.4
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2241.4
13.0,0.0,167.7,,,,,0.0,0.0,0.01,0.01,2344.7
14.0,0.0,167.7,,,,,0.0,0.0,0.0,0.0,2950.5
15.0,0.0,167.7,,,,,0.0,0.0,0.0,0.0,4322.0
16.0,0.0,167.7,,,,,0.0,0.0,0.0,0.0,4790.9
17.0,0.0,167.7,,,,,0.0,0.0,0.0,0.0,5191.8
18.0,0.0,167.7,,,,,0.0,0.0,0.0,0.0,5485.0
19.0,0.0,167.7,,,,,0.0,0.0,0.0,0.0,9421.1
20.0,0.01,169.4,,,,,0.0,0.0,0.03,0.02,5501.3
21.0,0.0,169.4,,,,,0.0,0.0,0.0,0.0,5506.1
22.0,0.0,169.4,,,,,0.0,0.0,0.0,0.0,5509.6
23.0,0.01,2390.8,,,,,0.0,0.0,0.02,0.01,5311.4
24.0,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5379.5
25.0,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5381.1
26.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5381.1
27.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5381.3
28.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,4855.1
29.01,0.0,3879.0,,,,,0.0,0.0,0.0,0.0,5548.3
30.01,16.42,3959.5,,,,,0.0,0.0,32.85,32.83,4657.6
31.01,0.0,3959.5,,,,,0.0,0.0,0.0,0.0,4840.0
32.01,0.0,3959.5,,,,,0.0,0.0,0.0,0.0,4843.4
33.01,0.0,3959.5,,,,,0.0,0.0,0.0,0.0,5025.4
34.01,0.0,3959.5,,,,,0.0,0.0,0.0,0.0,6077.9
35.01,0.0,4052.7,,,,,0.0,0.0,0.0,0.0,6939.6
36.01,16.47,4092.8,,,,,0.0,0.0,32.94,32.94,5699.2
37.01,49.38,4092.8,,,,,0.0,0.0,98.76,98.77,5699.4
38.01,49.32,4053.1,,,,,0.0,0.0,98.65,98.65,5838.5
39.01,0.26,4255.4,,,,,0.0,0.0,0.52,0.51,6505.6
40.01,32.96,4255.5,,,,,0.0,0.0,65.94,65.91,6217.7
41.01,49.38,4255.5,,,,,0.0,0.0,98.78,98.74,6217.7
42.01,49.37,4224.5,,,,,0.0,0.0,98.77,98.7,6382.9
43.01,0.3,4273.6,,,,,0.0,0.0,0.62,0.6,6989.8
44.01,32.95,4273.7,,,,,0.0,0.0,65.92,65.88,6640.6
45.01,49.34,4265.2,,,,,0.0,0.0,98.71,98.65,6647.1
46.01,32.93,4304.8,,,,,0.0,0.0,65.88,65.84,6657.2
47.01,33.24,4282.3,,,,,0.0,0.0,66.47,66.47,6650.8
48.01,49.36,4273.7,,,,,0.0,0.0,98.74,98.69,6649.5
49.01,49.42,4304.8,,,,,0.0,0.0,98.87,98.82,6658.4
50.01,33.2,4273.7,,,,,0.0,0.0,66.41,66.39,6646.8
51.01,49.38,4273.7,,,,,0.0,0.0,98.77,98.75,6652.0
52.01,49.41,4304.8,,,,,0.0,0.0,98.83,98.8,6659.5
53.01,33.2,4273.7,,,,,0.0,0.0,66.42,66.39,6655.4
54.01,49.36,4273.7,,,,,0.0,0.0,98.74,98.72,6656.1
55.01,49.4,4304.8,,,,,0.0,0.0,98.8,98.8,6660.3
56.01,33.19,4273.7,,,,,0.0,0.0,66.39,66.37,6656.8
