t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4480.8
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4480.8
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4480.8
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4480.8
12.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4482.4
13.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4482.4
14.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4482.4
15.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4482.4
16.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4482.4
17.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4482.4
18.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4482.4
19.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4482.4
20.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4482.4
21.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4482.4
22.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4482.4
23.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4482.4
24.0,0.01,335.5,,,,,0.01,0.01,0.01,0.01,4689.5
25.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,4699.2
26.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,4660.3
