t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4477.9
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4477.9
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4477.9
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4477.9
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4477.9
13.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4479.5
14.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4479.5
15.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4479.5
16.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4479.5
17.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4479.5
18.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4479.5
19.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4479.5
20.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4479.5
21.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4479.5
22.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4479.5
23.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4479.5
24.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4479.5
25.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4479.5
26.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4479.5
27.0,0.01,335.5,,,,,0.01,0.01,0.01,0.01,4685.6
28.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,4694.2
29.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,4739.3
30.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,4758.0
31.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,4772.9
32.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,4949.9
33.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5402.3
34.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6195.9
35.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6113.4
36.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6627.8
37.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7265.9
38.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6592.1
39.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6737.2
40.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6541.3
41.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6334.2
42.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6400.9
43.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6954.1
44.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6936.1
45.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8140.4
46.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,9356.9
47.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,10158.6
48.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,10398.9
49.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,10444.6
50.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,10444.6
51.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,10444.6
52.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,10140.1
53.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,10391.5
54.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,10437.6
55.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,10499.6
56.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,10469.6
57.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,9930.4
