t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2233.8
15.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2233.8
16.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2233.8
17.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2233.8
18.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2233.8
19.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2235.4
20.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2235.4
21.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2235.4
22.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2235.4
23.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2235.4
24.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2235.4
25.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2235.4
26.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2235.4
27.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2235.4
28.01,0.0,6.9,,,,,0.0,0.0,0.0,0.0,2238.5
29.01,0.0,167.7,,,,,0.0,0.0,0.01,0.01,2484.3
30.01,0.0,167.7,,,,,0.0,0.0,0.0,0.0,3829.2
31.01,0.0,167.7,,,,,0.0,0.0,0.0,0.0,4582.2
32.01,0.0,167.7,,,,,0.0,0.0,0.0,0.0,4986.6
33.01,0.0,167.7,,,,,0.0,0.0,0.0,0.0,5416.1
34.01,0.0,167.7,,,,,0.0,0.0,0.0,0.0,5595.7
35.01,0.0,167.7,,,,,0.0,0.0,0.0,0.0,6519.6
36.01,0.0,167.7,,,,,0.0,0.0,0.0,0.0,7020.6
37.01,0.0,167.7,,,,,0.0,0.0,0.0,0.0,7548.0
38.01,0.0,167.7,,,,,0.0,0.0,0.0,0.0,8003.0
39.01,0.0,167.7,,,,,0.0,0.0,0.0,0.0,8459.6
40.01,0.0,167.7,,,,,0.0,0.0,0.0,0.0,8905.8
41.01,0.0,167.7,,,,,0.0,0.0,0.0,0.0,9384.0
42.01,0.01,169.4,,,,,0.0,0.0,0.02,0.02,5494.2
43.01,0.0,169.4,,,,,0.0,0.0,0.0,0.0,5499.1
44.01,0.0,169.4,,,,,0.0,0.0,0.0,0.0,5499.2
45.01,0.02,169.4,,,,,0.0,0.0,0.05,0.02,5516.2
46.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5289.2
47.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5329.8
48.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5329.8
49.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5329.9
50.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,3554.3
51.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5004.9
52.01,0.0,3880.0,,,,,0.0,0.0,0.0,0.0,5652.5
53.01,16.4,3959.5,,,,,0.0,0.0,32.8,32.8,4811.1
54.01,0.0,3959.5,,,,,0.0,0.0,0.0,0.0,4835.3
55.01,0.0,3959.5,,,,,0.0,0.0,0.0,0.0,4882.6
56.01,0.0,3959.5,,,,,0.0,0.0,0.0,0.0,5027.2
57.01,0.0,3959.5,,,,,0.0,0.0,0.0,0.0,6093.1
