t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2241.6
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2241.6
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2241.6
11.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2243.2
12.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2243.2
13.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2243.2
14.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2243.2
15.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2243.2
16.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2243.2
17.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2243.2
18.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2243.2
19.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2243.2
20.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2243.2
21.0,0.0,167.7,,,,,0.0,0.0,0.01,0.01,2630.9
22.0,0.0,167.7,,,,,0.0,0.0,0.0,0.0,3871.0
23.0,0.0,167.7,,,,,0.0,0.0,0.0,0.0,4709.8
24.0,0.0,167.7,,,,,0.0,0.0,0.0,0.0,5124.0
25.0,0.0,167.7,,,,,0.0,0.0,0.0,0.0,5386.1
26.01,0.0,167.7,,,,,0.0,0.0,0.0,0.0,9069.6
27.01,0.01,169.4,,,,,0.0,0.0,0.02,0.02,5502.5
28.01,0.0,169.4,,,,,0.0,0.0,0.0,0.0,5507.6
29.01,0.0,169.4,,,,,0.0,0.0,0.0,0.0,5507.6
30.01,0.01,2298.6,,,,,0.0,0.0,0.04,0.01,5373.6
31.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5336.4
32.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5338.2
33.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5338.2
34.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5338.3
35.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,4584.3
36.01,0.0,3831.4,,,,,0.0,0.0,0.0,0.0,5423.5
37.01,0.0,3976.6,,,,,0.0,0.0,0.0,0.0,5255.6
38.01,16.4,3959.5,,,,,0.0,0.0,32.8,32.78,4841.7
39.01,0.0,3959.5,,,,,0.0,0.0,0.0,0.0,4843.9
40.01,0.0,3959.5,,,,,0.0,0.0,0.0,0.0,5024.9
41.01,0.0,3959.5,,,,,0.0,0.0,0.0,0.0,5625.0
42.01,0.0,4008.9,,,,,0.0,0.0,0.0,0.0,6616.2
43.01,0.0,4092.8,,,,,0.0,0.0,0.0,0.0,5710.7
44.01,49.34,4092.8,,,,,0.0,0.0,98.68,98.67,5714.7
45.01,49.36,4084.2,,,,,0.0,0.0,98.74,98.7,5812.1
46.01,16.45,4145.6,,,,,0.0,0.0,32.91,32.89,6436.7
47.01,16.73,4255.5,,,,,0.0,0.0,33.46,33.45,6203.7
48.01,49.31,4255.5,,,,,0.0,0.0,98.64,98.6,6203.8
49.01,49.41,4255.5,,,,,0.0,0.0,98.85,98.8,6239.3
50.01,16.45,4239.4,,,,,0.0,0.0,32.91,32.89,6836.9
51.01,16.76,4273.7,,,,,0.0,0.0,33.52,33.52,6650.4
52.01,49.33,4273.7,,,,,0.0,0.0,98.7,98.64,6637.3
53.01,49.42,4273.7,,,,,0.0,0.0,98.86,98.82,6650.2
54.01,33.21,4273.7,,,,,0.0,0.0,66.43,66.41,6651.7
55.01,32.91,4282.2,,,,,0.0,0.0,65.83,65.82,6651.2
56.01,49.36,4273.7,,,,,0.0,0.0,98.74,98.69,6649.8
57.01,33.22,4273.7,,,,,0.0,0.0,66.45,66.42,6647.7
