t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2240.5
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2240.5
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2240.5
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2240.5
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2240.5
13.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,2240.5
14.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2242.1
15.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2242.1
16.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2242.1
17.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2242.1
18.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2242.1
19.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2242.1
20.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2242.1
21.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2242.1
22.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,2242.1
23.0,0.0,167.7,,,,,0.0,0.0,0.01,0.01,2343.9
24.0,0.0,167.7,,,,,0.0,0.0,0.0,0.0,3206.4
25.0,0.0,167.7,,,,,0.0,0.0,0.0,0.0,4658.9
26.0,0.0,167.7,,,,,0.0,0.0,0.0,0.0,4922.0
27.0,0.0,167.7,,,,,0.0,0.0,0.0,0.0,5103.6
28.01,0.0,167.7,,,,,0.0,0.0,0.0,0.0,5504.5
29.01,0.0,167.7,,,,,0.0,0.0,0.0,0.0,9420.9
30.01,0.01,169.4,,,,,0.0,0.0,0.02,0.02,5505.7
31.01,0.0,169.4,,,,,0.0,0.0,0.0,0.0,5505.7
32.01,0.02,169.4,,,,,0.0,0.0,0.05,0.02,5522.6
33.01,0.0,2361.0,,,,,0.0,0.0,0.0,0.0,5281.5
34.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5336.2
35.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5336.2
36.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5336.3
37.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,3667.2
38.01,0.0,2361.5,,,,,0.0,0.0,0.0,0.0,5101.7
39.01,0.0,3880.0,,,,,0.0,0.0,0.0,0.0,5805.4
40.01,16.41,3959.5,,,,,0.0,0.0,32.82,32.81,4830.1
41.01,0.0,3959.5,,,,,0.0,0.0,0.0,0.0,4840.4
42.01,0.0,3959.5,,,,,0.0,0.0,0.0,0.0,4899.1
43.01,0.0,3959.5,,,,,0.0,0.0,0.0,0.0,5035.8
44.01,0.0,3959.5,,,,,0.0,0.0,0.0,0.0,6293.4
45.01,0.0,4061.2,,,,,0.0,0.0,0.0,0.0,7069.0
46.01,32.92,4092.8,,,,,0.0,0.0,65.83,65.83,5703.1
47.01,49.39,4092.8,,,,,0.0,0.0,98.78,98.79,5704.6
48.01,32.9,4060.6,,,,,0.0,0.0,65.8,65.79,6072.9
49.01,0.26,4255.5,,,,,0.0,0.0,0.52,0.51,6170.6
50.01,32.91,4264.1,,,,,0.0,0.0,65.81,65.83,6172.0
51.01,49.41,4272.6,,,,,0.0,0.0,98.82,98.81,6174.5
52.01,49.34,4224.5,,,,,0.0,0.0,98.69,98.66,6341.0
53.01,0.3,4273.7,,,,,0.0,0.0,0.6,0.6,6613.1
54.01,49.36,4273.7,,,,,0.0,0.0,98.72,98.71,6605.0
55.01,49.41,4273.7,,,,,0.0,0.0,98.83,98.81,6604.7
56.01,33.22,4273.7,,,,,0.0,0.0,66.44,66.45,6606.2
57.01,49.38,4273.7,,,,,0.0,0.0,98.77,98.76,6606.8
