t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4492.6
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4492.6
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4492.6
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4492.6
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4492.6
13.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4500.9
14.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4495.9
15.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4495.9
16.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4495.9
17.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4495.9
18.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4495.9
19.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4495.9
20.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4495.9
21.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4495.9
22.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4495.9
23.0,0.01,335.5,,,,,0.01,0.01,0.01,0.01,4771.9
24.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6035.3
25.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7320.9
26.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8510.2
27.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,9709.5
28.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,10913.1
29.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,12178.1
30.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,13354.4
31.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,14628.0
32.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,15953.8
33.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,17287.8
34.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,18540.7
35.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20902.2
36.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21493.4
37.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20764.4
38.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21426.2
39.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21399.5
40.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21314.3
41.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21235.7
42.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21191.3
43.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21246.5
44.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21091.6
45.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21654.7
46.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20978.3
47.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21912.8
48.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20884.1
49.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22119.2
50.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20797.1
51.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22012.6
52.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20686.5
53.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21911.2
54.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20593.0
55.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21846.7
56.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20504.0
57.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21793.3
