t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4486.4
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4486.4
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4486.4
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4486.4
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4486.4
13.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4488.1
14.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4488.1
15.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4488.1
16.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4488.1
17.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4488.1
18.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4488.1
19.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4488.1
20.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4488.1
21.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4488.1
22.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4488.1
23.0,0.01,335.5,,,,,0.01,0.01,0.01,0.01,4696.1
24.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7281.2
25.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6654.3
26.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8223.0
27.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,9599.7
28.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,10766.0
29.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,11949.7
30.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,13120.1
31.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,14310.3
32.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,15515.0
33.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,16722.7
34.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,17928.4
35.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,19148.3
36.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22922.8
37.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20592.5
38.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21677.1
39.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20918.9
40.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21333.0
41.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20606.8
42.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21691.3
43.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20933.5
44.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21390.7
45.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20592.5
46.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21679.9
47.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20222.0
48.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21386.2
49.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20541.4
50.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21789.0
51.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20206.9
52.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21411.9
53.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21416.1
54.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21086.3
55.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21669.0
56.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21410.2
57.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21398.5
