t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4472.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4472.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4472.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4472.0
12.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4475.2
13.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4475.2
14.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4475.2
15.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4475.2
16.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4475.2
17.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4475.2
18.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4475.2
19.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4475.2
20.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4475.2
21.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4475.2
22.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4475.2
23.0,0.01,335.5,,,,,0.01,0.01,0.01,0.01,4908.5
24.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6439.1
25.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7411.0
26.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7560.3
27.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8145.3
28.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,13122.9
29.01,0.02,338.7,,,,,0.01,0.02,0.02,0.02,8019.7
30.01,0.03,2581.2,,,,,0.03,0.03,0.04,0.02,8028.6
31.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,8126.3
32.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,8126.3
33.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,8126.6
34.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,8126.6
35.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,8614.3
36.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,11610.6
37.01,0.0,3949.1,,,,,0.0,0.0,0.0,0.0,12537.2
38.01,0.0,4504.7,,,,,0.0,0.0,0.0,0.0,13720.5
39.01,15.53,4588.9,,,,,15.54,15.53,15.53,15.53,10515.5
40.01,0.0,4588.9,,,,,0.0,0.0,0.0,0.0,10517.2
41.01,0.0,4588.9,,,,,0.0,0.0,0.0,0.0,10723.1
42.01,0.0,4588.9,,,,,0.0,0.0,0.0,0.0,10731.9
43.01,0.0,4588.9,,,,,0.0,0.0,0.0,0.0,12599.0
44.01,0.0,4588.9,,,,,0.0,0.0,0.0,0.0,15068.2
45.01,0.0,4871.9,,,,,0.0,0.0,0.0,0.0,15905.4
46.01,0.0,5020.9,,,,,0.0,0.0,0.0,0.0,13124.4
47.01,62.43,5007.1,,,,,62.43,62.43,62.44,62.41,13128.0
48.01,31.22,5007.2,,,,,31.22,31.22,31.23,31.21,13197.3
49.01,15.62,5037.9,,,,,15.62,15.62,15.63,15.63,14049.5
50.01,0.41,5287.8,,,,,0.4,0.42,0.42,0.42,13994.6
51.01,46.86,5287.8,,,,,46.85,46.85,46.88,46.86,13993.5
52.01,46.85,5287.8,,,,,46.84,46.85,46.87,46.84,13993.6
53.01,31.22,5240.2,,,,,31.22,31.19,31.24,31.23,14325.2
54.01,0.52,5319.0,,,,,0.52,0.53,0.52,0.53,15418.8
55.01,46.82,5319.0,,,,,46.81,46.82,46.83,46.83,14778.5
56.01,31.25,5319.1,,,,,31.25,31.25,31.26,31.25,14772.9
57.01,47.34,5319.0,,,,,47.34,47.32,47.35,47.34,14776.8
