t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4486.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4486.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4486.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4486.0
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4486.0
13.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4490.8
14.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4490.8
15.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4490.8
16.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4490.8
17.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4490.8
18.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4490.8
19.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4490.8
20.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4490.8
21.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4490.8
22.0,0.01,335.5,,,,,0.01,0.01,0.01,0.01,4703.1
23.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8341.3
24.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6776.1
25.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7912.6
26.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,9200.6
27.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,10614.7
28.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,11759.3
29.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,13036.9
30.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,14225.2
31.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,15425.9
32.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,16620.4
33.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,17878.3
34.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,19460.3
35.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20061.7
36.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21190.7
37.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22577.5
38.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21043.0
39.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22318.7
40.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20892.8
41.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22081.4
42.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20769.5
43.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21862.3
44.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20653.3
45.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21743.0
46.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20533.8
47.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21669.5
48.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20401.8
49.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21669.5
50.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20254.2
51.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21615.1
52.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20123.6
53.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21515.2
54.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,19986.9
55.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21372.4
56.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21614.4
57.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22580.4
