t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4490.8
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4490.8
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4490.8
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4490.8
12.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4492.3
13.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4492.3
14.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4492.3
15.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4492.3
16.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4492.3
17.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4492.3
18.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4492.3
19.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4492.3
20.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4492.3
21.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4492.3
22.0,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4502.0
23.0,0.01,335.5,,,,,0.01,0.01,0.01,0.01,6767.9
24.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6718.9
25.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7871.0
26.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,9013.7
27.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,10187.2
28.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,11364.0
29.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,12569.8
30.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,13831.7
31.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,15026.4
32.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,16242.7
33.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,17535.8
34.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,18757.2
35.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,23220.7
36.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20223.2
37.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21561.2
38.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20070.8
39.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21448.3
40.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20993.6
41.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21352.3
42.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21879.4
43.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21263.4
44.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21933.0
45.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21170.8
46.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21763.5
47.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21048.6
48.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21595.0
49.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20938.3
50.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22168.5
51.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20823.4
52.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21941.3
53.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20680.2
54.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21865.9
55.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20549.9
56.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21832.1
57.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21073.2
