t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4488.4
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4488.4
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4488.4
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4488.4
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4488.4
13.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4490.0
14.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4490.0
15.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4490.0
16.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4490.0
17.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4490.0
18.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4490.0
19.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4490.0
20.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4490.0
21.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4490.0
22.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4490.0
23.0,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4499.1
24.0,0.01,335.5,,,,,0.01,0.01,0.01,0.01,5334.0
25.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6755.9
26.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7793.8
27.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8811.7
28.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,9807.5
29.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,10882.2
30.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,12075.3
31.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,13341.7
32.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,14640.1
33.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,15990.9
34.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,17270.3
35.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,18400.4
36.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20707.9
37.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21289.2
38.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22656.0
39.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21077.4
40.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22382.9
41.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20925.5
42.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22135.5
43.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20791.6
44.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21947.4
45.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20677.7
46.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21802.2
47.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20537.6
48.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21680.8
49.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20376.8
50.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21604.8
51.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20382.0
52.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21556.7
53.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20809.0
54.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21470.3
55.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20658.6
56.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21336.4
57.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20487.4
