t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4484.4
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4484.4
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4484.4
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4484.4
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4484.4
13.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4489.2
14.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4489.2
15.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4489.2
16.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4489.2
17.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4489.2
18.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4489.2
19.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4489.2
20.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4489.2
21.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4489.2
22.0,0.0,10.4,,,,,0.0,0.0,0.0,0.0,4489.2
23.01,0.0,13.8,,,,,0.0,0.0,0.0,0.0,4492.8
24.01,0.01,335.5,,,,,0.01,0.01,0.01,0.01,5042.2
25.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6588.9
26.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7100.0
27.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7585.4
28.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8068.8
29.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8553.2
30.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,9049.1
31.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,9545.3
32.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,10102.9
33.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,10942.8
34.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,11784.1
35.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,12628.3
36.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,13136.1
37.01,0.02,338.7,,,,,0.02,0.02,0.02,0.02,7941.6
38.01,0.0,338.7,,,,,0.0,0.0,0.0,0.0,7951.3
39.01,0.0,338.7,,,,,0.0,0.0,0.0,0.0,7954.3
40.01,0.0,338.7,,,,,0.0,0.0,0.0,0.0,8015.6
41.01,0.0,338.7,,,,,0.0,0.0,0.0,0.0,8035.5
42.01,0.0,338.7,,,,,0.0,0.0,0.0,0.0,8026.1
43.01,0.0,338.7,,,,,0.0,0.0,0.0,0.0,8040.0
44.01,0.0,338.7,,,,,0.0,0.0,0.0,0.0,8054.7
45.01,0.0,338.7,,,,,0.0,0.0,0.0,0.0,8063.0
46.01,0.0,338.7,,,,,0.0,0.0,0.0,0.0,8063.4
47.01,0.02,338.7,,,,,0.02,0.02,0.04,0.02,8045.2
48.01,0.01,2580.2,,,,,0.0,0.0,0.01,0.0,8029.6
49.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,8155.8
50.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,8156.0
51.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,8156.0
52.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,8156.2
53.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,7500.0
54.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,10949.3
55.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,12208.9
56.01,0.0,4231.6,,,,,0.0,0.0,0.0,0.0,13087.7
57.01,0.0,4607.0,,,,,0.0,0.0,0.0,0.0,10006.8
