t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4498.0
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4498.0
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4498.0
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4498.0
12.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4499.5
13.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4499.5
14.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4499.5
15.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4499.5
16.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4499.5
17.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4499.5
18.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4499.5
19.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4499.5
20.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4499.5
21.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4499.5
22.0,0.01,335.5,,,,,0.01,0.01,0.01,0.01,5528.0
23.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6438.2
24.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7617.0
25.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,9029.6
26.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,10206.3
27.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,11514.4
28.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,13067.2
29.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,14236.3
30.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,15420.5
31.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,16617.1
32.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,17820.1
33.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,19034.2
34.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22092.4
35.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22159.0
36.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20809.0
37.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21920.2
38.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20684.7
39.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21763.4
40.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20559.6
41.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21692.2
42.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20431.9
43.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21682.0
44.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20311.2
45.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21632.0
46.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20192.0
47.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21565.1
48.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20089.3
49.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21476.4
50.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,20785.1
51.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21376.3
52.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21356.8
53.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21271.3
54.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21959.5
55.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,21181.2
56.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,22007.8
57.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,34005.9
