t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4501.6
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4501.6
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4501.6
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4501.6
12.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4501.6
13.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4501.6
14.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4504.8
15.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4504.8
16.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4504.8
17.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4504.8
18.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4504.8
19.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4504.8
20.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4504.8
21.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4504.8
22.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4504.8
23.0,0.0,6.9,,,,,0.0,0.0,0.0,0.0,4504.8
24.0,0.01,335.5,,,,,0.01,0.01,0.01,0.01,4718.0
25.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,4719.1
26.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,4784.0
27.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,4798.2
28.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,4907.9
29.0,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5569.7
30.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6383.3
31.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6659.2
32.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7520.3
33.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8300.3
34.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,9162.7
35.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8882.7
36.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7636.9
37.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7196.6
38.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,6317.9
39.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5913.6
40.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5913.6
41.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5913.6
42.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5913.6
43.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5913.6
44.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5913.6
45.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5913.6
46.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5913.7
47.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5913.7
48.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5913.7
49.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5913.7
50.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5913.7
51.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5913.7
52.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5913.7
53.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5913.7
54.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5913.7
55.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5913.7
56.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5913.7
57.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5913.7
