t_s,gpu_util_pct,mem_used_mib,power_w,temp_c,sclk_mhz,mclk_mhz,util_nc0,util_nc1,util_nc2,util_nc3,host_mem_used_mib
0.0,,,,,,,,,,,
1.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0
8.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4502.9
9.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4502.9
10.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4502.9
11.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,4502.9
12.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4504.5
13.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4504.5
14.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4504.5
15.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4504.5
16.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4504.5
17.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4504.5
18.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4504.5
19.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4504.5
20.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4504.5
21.0,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4504.5
22.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4504.5
23.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4504.5
24.01,0.0,3.5,,,,,0.0,0.0,0.0,0.0,4504.5
25.01,0.01,335.5,,,,,0.01,0.01,0.01,0.01,4718.5
26.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,5610.1
27.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,7838.8
28.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8363.4
29.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,8710.1
30.01,0.0,335.5,,,,,0.0,0.0,0.0,0.0,11962.2
31.01,0.02,338.7,,,,,0.01,0.02,0.02,0.02,7958.0
32.01,0.0,338.7,,,,,0.0,0.0,0.0,0.0,7968.4
33.01,0.0,338.7,,,,,0.0,0.0,0.0,0.0,7968.5
34.01,0.01,338.7,,,,,0.0,0.01,0.01,0.0,8001.8
35.01,0.01,2581.6,,,,,0.01,0.01,0.01,0.01,7955.8
36.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,8036.0
37.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,8036.0
38.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,8036.2
39.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,8036.2
40.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,8635.9
41.01,0.0,2581.6,,,,,0.0,0.0,0.0,0.0,11532.6
42.01,0.0,3914.6,,,,,0.0,0.0,0.0,0.0,12370.2
43.01,0.0,4316.4,,,,,0.0,0.0,0.0,0.0,13649.3
44.01,15.54,4588.9,,,,,15.53,15.54,15.54,15.54,10445.9
45.01,0.0,4588.9,,,,,0.0,0.0,0.0,0.0,10449.3
46.01,0.0,4588.9,,,,,0.0,0.0,0.0,0.0,10508.7
47.01,0.0,4588.9,,,,,0.0,0.0,0.0,0.0,10663.5
48.01,0.0,4588.9,,,,,0.0,0.0,0.0,0.0,12210.4
49.01,0.0,4588.9,,,,,0.0,0.0,0.0,0.0,14834.4
50.01,0.0,4777.9,,,,,0.0,0.0,0.0,0.0,15563.0
51.01,0.0,5011.1,,,,,0.0,0.0,0.0,0.0,14932.9
52.01,46.86,5007.2,,,,,46.86,46.85,46.86,46.86,13097.0
53.01,46.86,5007.2,,,,,46.87,46.85,46.88,46.85,13135.4
54.01,15.62,4966.0,,,,,15.61,15.62,15.62,15.62,13649.7
55.01,0.41,5287.8,,,,,0.41,0.41,0.4,0.41,13975.8
56.01,46.84,5283.2,,,,,46.83,46.86,46.87,46.82,13974.2
57.01,46.87,5283.2,,,,,46.86,46.86,46.87,46.88,13975.1
